lat,lon,value,id,class,image_date,image_source,notes,discard,reason
1283165.708,693916.9838,1,35,d,8/1/2010,Maxar,could also be morrain ,,
1297655.708,19636.98378,1,36,u/s,Dec-16,landsat,either seasonal snow or glacier,,
1166165.708,276106.9838,1,37,u,,,,y,dark image
1286345.708,501376.9838,1,38,u,,,,y ,no image
1175255.708,717526.9838,1,39,d,6/12/2015,Maxar,,,
1225295.708,491716.9838,1,40,u,Dec-16,landsat,very close to the edge of a glacier ,,
1391585.708,254296.9838,1,41,s,5/30/2017,na,seasonal mountain snow,,
1373615.708,629776.9838,1,42,s,6/15/2014,Maxar,likely seasaonal mtn snow conflation,,
1133435.708,225736.9838,1,43,s,Aug-15,Maxar,likely seasaonal mtn snow conflation,,
1257035.708,356686.9838,1,44,n,5/29/2017,na,could also be nanuk but very close to glacier,,
1521545.708,384826.9838,1,45,u,Dec-13,landsat,could be debris covered,,
1259825.708,313876.9838,1,46,n,Jun-15,Maxar,likely seasaonal mtn snow conflation,,
1185185.708,802906.9838,1,47,g,6/16/2015,Maxar,,,
1340495.708,586156.9838,1,48,d,6/16/2015,Maxar,could also be morrain ,,
1169855.708,1070296.984,1,49,n,6/16/2015,Maxar,very close to the edge of a glacier ,,
1091165.708,956266.9838,1,50,u,6/16/2015,Maxar,might be a glacier,,
1201985.708,300136.9838,1,51,s,Feb-03,Maxar,could also be glacier,,
1325075.708,656476.9838,1,52,n,5/19/2015,Maxar,very close to the edge of a glacier ,,
1173335.708,989236.9838,1,53,n,Dec-16,landsat,likely seasonal mtn snow conflation,,
1321685.708,396676.9838,1,54,d,5/29/2017,na,could also be morrain ,,
1086005.708,999406.9838,1,55,n,9/8/2014,Maxar,shaded but near glacier,,
1291925.708,687316.9838,1,56,d,5/21/2015,Maxar,could also be morrain ,,
1406225.708,79666.98378,1,57,s,Dec-16,landsat,likely seasonal mtn snow conflation,,
1366415.708,622876.9838,1,58,u,6/15/2014,Maxar,could also be glacier,,
1429595.708,150676.9838,1,59,g,8/22/2014,Maxar,could also be seasonal snow,,
1173245.708,1070476.984,1,60,u,,,,y,no image
1119635.708,207706.9838,1,61,u,4/16/2011,Maxar,could also be glacier,,
1518425.708,287686.9838,1,62,n,Dec-16,landsat,likely seasonal mtn snow conflation,,
1257215.708,340726.9838,1,63,s,5/29/2017,na,likely seasonal mtn snow conflation,,
1311545.708,690856.9838,1,64,u,5/29/2017,Maxar,images are not clear,,
1207745.708,768286.9838,1,65,g,6/30/2014,Maxar,,,
1341185.708,640186.9838,1,66,d,6/30/2014,Maxar,could also be morrain ,,
1179665.708,571606.9838,1,67,d,7/3/2009,USGS,could also be morrain ,,
1136645.708,920506.9838,1,68,u,Dec-16,landsat,shaded but near glacier,,
1199555.708,557026.9838,1,69,w,7/2/2009,USGS,glacial lake,,
1248575.708,442036.9838,1,70,n,9/4/2009,Maxar,likely seasonal mtn snow conflation,,
1160885.708,1081246.984,1,71,u,Dec-16,landsat,shaded but near glacier,,
1252265.708,408796.9838,1,72,s,6/25/2019,CNES,likely seasonal mtn snow conflation,,
1210565.708,518146.9838,1,73,u,Dec-15,landsat,likely seasonal mtn snow conflation,,
1174235.708,1073956.984,1,74,u,Dec-16,landsat,could also be glacier,,
1129085.708,300406.9838,1,75,u,Dec-16,landsat,near glacier ,,
1467335.708,141526.9838,1,76,g,5/31/2017,na,could also be seasonal snow,,
1262165.708,262486.9838,1,77,s,10/19/2012,Maxar,likely seasonal mtn snow conflation,,
928025.7078,1413406.984,1,78,u,Dec-16,landsat,could be snow or glacier,,
930125.7078,-62323.01622,1,79,u,12/30/2016,Maxar,could be snow or glacier,,
1274855.708,376306.9838,1,80,s,5/29/2017,na,very close to the edge of a glacier ,,
1333685.708,557806.9838,1,81,u,5/20/2015,Maxar,very close to the edge of a glacier ,m,mp
1332995.708,624676.9838,1,82,n,7/12/2009,Maxar,shaded but near glacier,,
1374275.708,78646.98378,1,83,g,Dec-14,landsat,not high confidence,,
1219895.708,799576.9838,1,84,u,,,,m,no image
1007015.708,1281466.984,1,85,u ,Dec-16,landsat,might be a glacier,,
1365425.708,604156.9838,1,86,s,Dec-13,landsat,near glacier ,,
1148945.708,326566.9838,1,87,w,,,,y,
1287335.708,441436.9838,1,88,g,10/1/2018,Maxar,could also be debris covered,,
1362665.708,549286.9838,1,89,s,10/1/2018,Maxar,likely seasonal mtn snow conflation,,
1293215.708,11806.98378,1,90,g,Dec-16,landsat,could also be debris covered,,
1098545.708,942436.9838,1,91,u,12/30/2016,Maxar,could also be glacier,,
1187285.708,661906.9838,1,92,u,Dec-12,landsat,could also be glacier,,
1317095.708,679156.9838,1,93,s,5/21/2015,Maxar,likely seasonal mtn snow conflation,,
1315145.708,689956.9838,1,94,u,5/21/2015,Maxar,could also be glacier,,image unclear
1165145.708,71806.98378,1,95,s,8/12/2015,Maxar,likely seasonal mtn snow conflation,,
1311035.708,5386.98378,1,96,g,Dec-16,Maxar,could also be debris covered,,
1075415.708,192766.9838,1,97,s,7/28/2013,Maxar,likely seasonal mtn snow conflation,,
1213985.708,713146.9838,1,98,s,6/23/2015,Maxar,seasonal snow but near glacier,,
1308395.708,674116.9838,1,99,s,6/23/2015,Maxar,seasonal snow but near glacier,,
1290815.708,66436.98378,1,100,d,Dec-16,landsat,,,
1002215.708,1282006.984,1,101,,,,,,
1189085.708,1018576.984,1,102,,,,,,
1135415.708,1040536.984,1,103,,,,,,
1297025.708,-973.01622,1,104,,,,,,
1345235.708,659656.9838,1,105,,,,,,
1207415.708,516736.9838,1,106,,,,,,
1167365.708,849376.9838,1,107,,,,,,
1180385.708,774286.9838,1,108,,,,,,
1226135.708,533386.9838,1,109,,,,,,
1239365.708,282346.9838,1,110,,,,,,
1296155.708,78766.98378,1,111,,,,,,
1372805.708,263236.9838,1,112,,,,,,
1393025.708,539926.9838,1,113,,,,,,
1272545.708,116776.9838,1,114,,,,,,
1532555.708,417856.9838,1,115,,,,,,
1155185.708,274186.9838,1,116,,,,,,
1383725.708,476656.9838,1,117,,,,,,
930125.7078,1142836.984,1,118,,,,,,
1206785.708,555826.9838,1,119,,,,,,
1256555.708,688246.9838,1,120,,,,,,
1316525.708,684916.9838,1,121,,,,,,
1519085.708,293116.9838,1,122,,,,,,
1099265.708,195016.9838,1,123,,,,,,
1146365.708,993286.9838,1,124,,,,,,
905465.7078,-78883.01622,1,125,,,,,,
1256675.708,91846.98378,1,126,,,,,,
1138385.708,172456.9838,1,127,,,,,,
1335965.708,532366.9838,1,128,,,,,,
1191995.708,1023616.984,1,129,,,,,,
1142585.708,1122526.984,1,130,,,,,,
1349795.708,576826.9838,1,131,,,,,,
1185395.708,801166.9838,1,132,,,,,,
1149515.708,1099576.984,1,133,,,,,,
1385015.708,614476.9838,1,134,,,,,,
1244825.708,621226.9838,1,135,,,,,,
1146425.708,227326.9838,1,136,,,,,,
1485605.708,193996.9838,1,137,,,,,,
942155.7078,1391746.984,1,138,,,,,,
1364255.708,618406.9838,1,139,,,,,,
1413545.708,117376.9838,1,140,,,,,,
1388615.708,270286.9838,1,141,,,,,,
945935.7078,1351186.984,1,142,,,,,,
938165.7078,-48853.01622,1,143,,,,,,
945455.7078,1131196.984,1,144,,,,,,
1234715.708,440956.9838,1,145,,,,,,
1253165.708,703066.9838,1,146,,,,,,
1152275.708,269356.9838,1,147,,,,,,
1390205.708,660646.9838,1,148,,,,,,
1293905.708,343666.9838,1,149,,,,,,
1197485.708,814606.9838,1,150,,,,,,
1402685.708,93016.98378,1,151,,,,,,
1355015.708,630466.9838,1,152,,,,,,
1175345.708,717196.9838,1,153,,,,,,
1277825.708,633286.9838,1,154,,,,,,
1144385.708,862126.9838,1,155,,,,,,
1366175.708,576376.9838,1,156,,,,,,
1446425.708,126346.9838,1,157,,,,,,
1300325.708,659926.9838,1,158,,,,,,
1281665.708,84796.98378,1,159,,,,,,
1228535.708,85366.98378,1,160,,,,,,
1458275.708,127966.9838,1,161,,,,,,
1278545.708,493486.9838,1,162,,,,,,
1222925.708,608596.9838,1,163,,,,,,
1370345.708,625936.9838,1,164,,,,,,
1286165.708,8056.98378,1,165,,,,,,
1263935.708,3076.98378,1,166,,,,,,
1162025.708,866386.9838,1,167,,,,,,
1018775.708,1244356.984,1,168,,,,,,
1467905.708,176116.9838,1,169,,,,,,
1342955.708,586816.9838,1,170,,,,,,
1431395.708,131866.9838,1,171,,,,,,
1350035.708,560596.9838,1,172,,,,,,
935075.7078,1141186.984,1,173,,,,,,
1189025.708,758296.9838,1,174,,,,,,
1269215.708,415456.9838,1,175,,,,,,
1015565.708,1241956.984,1,176,,,,,,
1114685.708,956956.9838,1,177,,,,,,
1516595.708,316456.9838,1,178,,,,,,
1271345.708,86596.98378,1,179,,,,,,
1066085.708,1209766.984,1,180,,,,,,
1248095.708,296536.9838,1,181,,,,,,
1216055.708,1016686.984,1,182,,,,,,
1210205.708,488206.9838,1,183,,,,,,
1405295.708,590236.9838,1,184,,,,,,
1206275.708,488896.9838,1,185,,,,,,
1515515.708,342106.9838,1,186,,,,,,
1163615.708,852286.9838,1,187,,,,,,
1290215.708,680926.9838,1,188,,,,,,
1115165.708,40336.98378,1,189,,,,,,
1281875.708,68206.98378,1,190,,,,,,
1193195.708,759616.9838,1,191,,,,,,
1153475.708,877186.9838,1,192,,,,,,
1496465.708,201016.9838,1,193,,,,,,
1263725.708,647086.9838,1,194,,,,,,
1164635.708,270676.9838,1,195,,,,,,
1307855.708,12646.98378,1,196,,,,,,
1422395.708,121516.9838,1,197,,,,,,
1275605.708,84766.98378,1,198,,,,,,
1531865.708,376456.9838,1,199,,,,,,
1128215.708,896026.9838,1,200,,,,,,
1078595.708,1000066.984,1,201,,,,,,
1172675.708,275506.9838,1,202,,,,,,
1231685.708,27556.98378,1,203,,,,,,
1309505.708,652546.9838,1,204,,,,,,
1153145.708,209926.9838,1,205,,,,,,
1335365.708,668026.9838,1,206,,,,,,
1276475.708,524566.9838,1,207,,,,,,
1286015.708,88006.98378,1,208,,,,,,
1390775.708,580336.9838,1,209,,,,,,
1194485.708,499546.9838,1,210,,,,,,
1275965.708,682036.9838,1,211,,,,,,
1294805.708,92476.98378,1,212,,,,,,
1456025.708,180706.9838,1,213,,,,,,
1258325.708,383956.9838,1,214,,,,,,
1231925.708,83356.98378,1,215,,,,,,
1269785.708,450256.9838,1,216,,,,,,
1254485.708,614686.9838,1,217,,,,,,
1314425.708,82726.98378,1,218,,,,,,
1331255.708,608746.9838,1,219,,,,,,
1158905.708,737236.9838,1,220,,,,,,
1518665.708,344596.9838,1,221,,,,,,
1186355.708,689926.9838,1,222,,,,,,
1147385.708,853786.9838,1,223,,,,,,
1322075.708,686656.9838,1,224,,,,,,
1236785.708,559396.9838,1,225,,,,,,
1298405.708,84706.98378,1,226,,,,,,
1502375.708,461206.9838,1,227,,,,,,
1283105.708,24346.98378,1,228,,,,,,
1413935.708,120946.9838,1,229,,,,,,
1356155.708,648436.9838,1,230,,,,,,
1163855.708,985906.9838,1,231,,,,,,
1269515.708,692086.9838,1,232,,,,,,
1502345.708,461176.9838,1,233,,,,,,
1346975.708,586996.9838,1,234,,,,,,
1200755.708,577306.9838,1,235,,,,,,
1148645.708,262036.9838,1,236,,,,,,
1384025.708,586126.9838,1,237,,,,,,
1246685.708,73006.98378,1,238,,,,,,
1084235.708,970186.9838,1,239,,,,,,
973535.7078,29326.98378,1,240,,,,,,
1400495.708,100006.9838,1,241,,,,,,
1306745.708,337666.9838,1,242,,,,,,
1386935.708,503056.9838,1,243,,,,,,
1326005.708,660376.9838,1,244,,,,,,
1183715.708,563656.9838,1,245,,,,,,
1169345.708,718786.9838,1,246,,,,,,
1197755.708,1024876.984,1,247,,,,,,
1195235.708,624406.9838,1,248,,,,,,
1224275.708,796756.9838,1,249,,,,,,
1536035.708,361066.9838,1,250,,,,,,
1254155.708,350716.9838,1,251,,,,,,
1097765.708,179836.9838,1,252,,,,,,
1517945.708,342766.9838,1,253,,,,,,
1125605.708,55336.98378,1,254,,,,,,
1068185.708,984046.9838,1,255,,,,,,
1151135.708,2776.98378,1,256,,,,,,
957425.7078,1297606.984,1,257,,,,,,
1519085.708,413116.9838,1,258,,,,,,
1504115.708,479176.9838,1,259,,,,,,
1353755.708,648886.9838,1,260,,,,,,
1390145.708,253516.9838,1,261,,,,,,
1136465.708,276976.9838,1,262,,,,,,
1282685.708,528136.9838,1,263,,,,,,
954035.7078,1133416.984,1,264,,,,,,
1403585.708,95416.98378,1,265,,,,,,
910895.7078,1377166.984,1,266,,,,,,
1185155.708,1046536.984,1,267,,,,,,
1434185.708,156226.9838,1,268,,,,,,
1214555.708,751366.9838,1,269,,,,,,
1159085.708,997876.9838,1,270,,,,,,
1385405.708,281566.9838,1,271,,,,,,
1315445.708,688666.9838,1,272,,,,,,
1248695.708,336376.9838,1,273,,,,,,
1192865.708,587596.9838,1,274,,,,,,
1260125.708,615406.9838,1,275,,,,,,
1524485.708,378856.9838,1,276,,,,,,
951605.7078,1134586.984,1,277,,,,,,
1135355.708,849616.9838,1,278,,,,,,
1364075.708,580666.9838,1,279,,,,,,
1091555.708,946126.9838,1,280,,,,,,
1089785.708,994636.9838,1,281,,,,,,
1524005.708,396826.9838,1,282,,,,,,
1072145.708,191326.9838,1,283,,,,,,
983855.7078,1282876.984,1,284,,,,,,
930425.7078,1142416.984,1,285,,,,,,
1138985.708,1001386.984,1,286,,,,,,
1182005.708,781576.9838,1,287,,,,,,
1272695.708,278386.9838,1,288,,,,,,
923705.7078,1147216.984,1,289,,,,,,
1188695.708,783976.9838,1,290,,,,,,
956645.7078,1357786.984,1,291,,,,,,
945485.7078,-24913.01622,1,292,,,,,,
954815.7078,1136716.984,1,293,,,,,,
1174205.708,577666.9838,1,294,,,,,,
1119635.708,898936.9838,1,295,,,,,,
1219025.708,693226.9838,1,296,,,,,,
906245.7078,1447186.984,1,297,,,,,,
1085645.708,945256.9838,1,298,,,,,,
1042265.708,161086.9838,1,299,,,,,,
1385315.708,487486.9838,1,300,,,,,,
1137425.708,282886.9838,1,301,,,,,,
1230635.708,241456.9838,1,302,,,,,,
1541345.708,359236.9838,1,303,,,,,,
1116185.708,200236.9838,1,304,,,,,,
1233365.708,531856.9838,1,305,,,,,,
1391945.708,270676.9838,1,306,,,,,,
1100375.708,955066.9838,1,307,,,,,,
930725.7078,1136776.984,1,308,,,,,,
1347995.708,274546.9838,1,309,,,,,,
1409975.708,516706.9838,1,310,,,,,,
1414595.708,117856.9838,1,311,,,,,,
1193435.708,818956.9838,1,312,,,,,,
1172075.708,850216.9838,1,313,,,,,,
1183265.708,759526.9838,1,314,,,,,,
1392245.708,507766.9838,1,315,,,,,,
1306955.708,371746.9838,1,316,,,,,,
1148465.708,1048906.984,1,317,,,,,,
1185545.708,758416.9838,1,318,,,,,,
1423235.708,122716.9838,1,319,,,,,,
1223195.708,454726.9838,1,320,,,,,,
1087505.708,1167586.984,1,321,,,,,,
1518845.708,317116.9838,1,322,,,,,,
1119665.708,1005316.984,1,323,,,,,,
1196525.708,792436.9838,1,324,,,,,,
1134515.708,879496.9838,1,325,,,,,,
1165835.708,286996.9838,1,326,,,,,,
1410485.708,650206.9838,1,327,,,,,,
946145.7078,1384576.984,1,328,,,,,,
1125185.708,28606.98378,1,329,,,,,,
1264595.708,575776.9838,1,330,,,,,,
1097255.708,969796.9838,1,331,,,,,,
1076585.708,1212316.984,1,332,,,,,,
1532225.708,375706.9838,1,333,,,,,,
1072985.708,143866.9838,1,334,,,,,,
1090355.708,1140526.984,1,335,,,,,,
1218785.708,284356.9838,1,336,,,,,,
1188635.708,766606.9838,1,337,,,,,,
1537685.708,319606.9838,1,338,,,,,,
1275995.708,524896.9838,1,339,,,,,,
1198025.708,294556.9838,1,340,,,,,,
1256375.708,32656.98378,1,341,,,,,,
944075.7078,1144936.984,1,342,,,,,,
1182905.708,761566.9838,1,343,,,,,,
1280735.708,339856.9838,1,344,,,,,,
1056695.708,998536.9838,1,345,,,,,,
1282325.708,631456.9838,1,346,,,,,,
1287815.708,333286.9838,1,347,,,,,,
992345.7078,1297096.984,1,348,,,,,,
1089845.708,193006.9838,1,349,,,,,,
1460465.708,197626.9838,1,350,,,,,,
1167185.708,717676.9838,1,351,,,,,,
1443935.708,121966.9838,1,352,,,,,,
958115.7078,1267396.984,1,353,,,,,,
1389905.708,275926.9838,1,354,,,,,,
1523645.708,419806.9838,1,355,,,,,,
896765.7078,1441426.984,1,356,,,,,,
1287155.708,64786.98378,1,357,,,,,,
1349555.708,649006.9838,1,358,,,,,,
1267715.708,701056.9838,1,359,,,,,,
1466645.708,163336.9838,1,360,,,,,,
1177175.708,573976.9838,1,361,,,,,,
1325645.708,657556.9838,1,362,,,,,,
1154615.708,1044886.984,1,363,,,,,,
1358885.708,652246.9838,1,364,,,,,,
1079285.708,1212136.984,1,365,,,,,,
946625.7078,1390846.984,1,366,,,,,,
1198235.708,79426.98378,1,367,,,,,,
1165955.708,1087456.984,1,368,,,,,,
1160585.708,735016.9838,1,369,,,,,,
1088795.708,213856.9838,1,370,,,,,,
1238945.708,648226.9838,1,371,,,,,,
1176665.708,720826.9838,1,372,,,,,,
1220435.708,512956.9838,1,373,,,,,,
1187075.708,760306.9838,1,374,,,,,,
1271345.708,663946.9838,1,375,,,,,,
1288025.708,675796.9838,1,376,,,,,,
1173455.708,819946.9838,1,377,,,,,,
1193855.708,809446.9838,1,378,,,,,,
1171625.708,994666.9838,1,379,,,,,,
1134155.708,993136.9838,1,380,,,,,,
1220675.708,562006.9838,1,381,,,,,,
1190495.708,759166.9838,1,382,,,,,,
1014035.708,1283716.984,1,383,,,,,,
1132805.708,992686.9838,1,384,,,,,,
934205.7078,1143946.984,1,385,,,,,,
1058585.708,1227496.984,1,386,,,,,,
929135.7078,1390036.984,1,387,,,,,,
1162325.708,846256.9838,1,388,,,,,,
1311275.708,5986.98378,1,389,,,,,,
1028375.708,1246276.984,1,390,,,,,,
1181555.708,779026.9838,1,391,,,,,,
1222055.708,636946.9838,1,392,,,,,,
1138055.708,896116.9838,1,393,,,,,,
942755.7078,1131826.984,1,394,,,,,,
1270025.708,672796.9838,1,395,,,,,,
1179755.708,688726.9838,1,396,,,,,,
1232225.708,24406.98378,1,397,,,,,,
1474745.708,181576.9838,1,398,,,,,,
1365425.708,628696.9838,1,399,,,,,,
1124345.708,1051876.984,1,400,,,,,,
1311095.708,651286.9838,1,401,,,,,,
1161155.708,736126.9838,1,402,,,,,,
1324145.708,620356.9838,1,403,,,,,,
917375.7078,1414246.984,1,404,,,,,,
1375085.708,572416.9838,1,405,,,,,,
1205405.708,551566.9838,1,406,,,,,,
1336655.708,555646.9838,1,407,,,,,,
1177445.708,838006.9838,1,408,,,,,,
1180295.708,290866.9838,1,409,,,,,,
1150595.708,1011406.984,1,410,,,,,,
1258445.708,290596.9838,1,411,,,,,,
1223435.708,496546.9838,1,412,,,,,,
922535.7078,1149736.984,1,413,,,,,,
1413485.708,654436.9838,1,414,,,,,,
895685.7078,1440526.984,1,415,,,,,,
1281665.708,687616.9838,1,416,,,,,,
1049135.708,1202656.984,1,417,,,,,,
1110845.708,963226.9838,1,418,,,,,,
1350695.708,592726.9838,1,419,,,,,,
1133375.708,887716.9838,1,420,,,,,,
1422695.708,165706.9838,1,421,,,,,,
1212875.708,596506.9838,1,422,,,,,,
1228475.708,797266.9838,1,423,,,,,,
1347665.708,629986.9838,1,424,,,,,,
1399805.708,583906.9838,1,425,,,,,,
1360295.708,658396.9838,1,426,,,,,,
1171145.708,1073356.984,1,427,,,,,,
1242065.708,453196.9838,1,428,,,,,,
931055.7078,1455376.984,1,429,,,,,,
1322645.708,673606.9838,1,430,,,,,,
1209095.708,622756.9838,1,431,,,,,,
1530635.708,296506.9838,1,432,,,,,,
1256795.708,587206.9838,1,433,,,,,,
1475765.708,185326.9838,1,434,,,,,,
1281605.708,683866.9838,1,435,,,,,,
1534865.708,374326.9838,1,436,,,,,,
1319855.708,636826.9838,1,437,,,,,,
1389125.708,506356.9838,1,438,,,,,,
1273805.708,413026.9838,1,439,,,,,,
1305425.708,300976.9838,1,440,,,,,,
1197665.708,840886.9838,1,441,,,,,,
1269215.708,598846.9838,1,442,,,,,,
1214855.708,554236.9838,1,443,,,,,,
1140635.708,1074376.984,1,444,,,,,,
1175075.708,1072696.984,1,445,,,,,,
1425395.708,129916.9838,1,446,,,,,,
1456295.708,144406.9838,1,447,,,,,,
1218815.708,560446.9838,1,448,,,,,,
1233575.708,522946.9838,1,449,,,,,,
1097405.708,975886.9838,1,450,,,,,,
1521275.708,436456.9838,1,451,,,,,,
1188155.708,761566.9838,1,452,,,,,,
1152125.708,1119106.984,1,453,,,,,,
1119425.708,209296.9838,1,454,,,,,,
1439795.708,118336.9838,1,455,,,,,,
934475.7078,1150276.984,1,456,,,,,,
924095.7078,1455886.984,1,457,,,,,,
1283465.708,644176.9838,1,458,,,,,,
1299155.708,669076.9838,1,459,,,,,,
1229525.708,298336.9838,1,460,,,,,,
1218035.708,280846.9838,1,461,,,,,,
1183805.708,687676.9838,1,462,,,,,,
896435.7078,1449106.984,1,463,,,,,,
1136135.708,1024516.984,1,464,,,,,,
1370465.708,478786.9838,1,465,,,,,,
1085585.708,1073416.984,1,466,,,,,,
1120595.708,996046.9838,1,467,,,,,,
1505495.708,226246.9838,1,468,,,,,,
1504115.708,433456.9838,1,469,,,,,,
1281335.708,503776.9838,1,470,,,,,,
1176755.708,773146.9838,1,471,,,,,,
1230575.708,559456.9838,1,472,,,,,,
1046465.708,1227826.984,1,473,,,,,,
1104455.708,917446.9838,1,474,,,,,,
1265315.708,292546.9838,1,475,,,,,,
953075.7078,1329256.984,1,476,,,,,,
945395.7078,1130806.984,1,477,,,,,,
1536125.708,333496.9838,1,478,,,,,,
1542305.708,333316.9838,1,479,,,,,,
1276145.708,106336.9838,1,480,,,,,,
1116935.708,247876.9838,1,481,,,,,,
1220495.708,578536.9838,1,482,,,,,,
1140125.708,25246.98378,1,483,,,,,,
1255145.708,306136.9838,1,484,,,,,,
1104695.708,966766.9838,1,485,,,,,,
1475465.708,202696.9838,1,486,,,,,,
1253465.708,393676.9838,1,487,,,,,,
1074575.708,204106.9838,1,488,,,,,,
1246925.708,523726.9838,1,489,,,,,,
1244195.708,77356.98378,1,490,,,,,,
1381085.708,258136.9838,1,491,,,,,,
1136645.708,172666.9838,1,492,,,,,,
1150235.708,247606.9838,1,493,,,,,,
1384865.708,266266.9838,1,494,,,,,,
1311635.708,687556.9838,1,495,,,,,,
1088315.708,1194346.984,1,496,,,,,,
1085645.708,969586.9838,1,497,,,,,,
961475.7078,1127386.984,1,498,,,,,,
1309415.708,-13333.01622,1,499,,,,,,
930995.7078,1144756.984,1,500,,,,,,
