,lat,lon,value,id,class,image_date,image_source,notes,discard,reason
157,2160257.139,231643.1596,1,158,n,6/17/2010,maxar,,,
158,2169347.139,345823.1596,1,159,n,8/4/2012,maxar,,,
159,2236727.139,449623.1596,1,160,n,8/8/2004,maxar,,,
160,2092607.139,328723.1596,1,161,u,,maxar,shaded,,
161,2229557.139,421663.1596,1,162,n,8/11/2014,maxar,,,
162,2162177.139,365443.1596,1,163,g,8/22/2012,maxar,,,
163,2243957.139,474643.1596,1,164,n,8/7/2004,maxar,,,
164,2095637.139,341653.1596,1,165,n,12/1/2016,maxar,,,
165,2072327.139,266503.1596,1,166,n,6/25/2010,maxar,,,
166,2111597.139,65323.1596,1,167,n,7/8/2010,maxar,,,
167,2204027.139,338083.1596,1,168,n,8/4/2012,maxar,,,
168,2167337.139,365053.1596,1,169,u,,maxar,near glacier,y,too close to edge
169,2281787.139,-36526.8404,1,170,n,8/7/2012,maxar,,,
170,2166797.139,343423.1596,1,171,n,8/4/2012,maxar,,,
171,2024597.139,-15496.8404,1,172,u,,maxar,unlikely glacier,,
172,2106977.139,338923.1596,1,173,n,12/1/2016,landsat,,,
173,2084687.139,295933.1596,1,174,u,,landsat,low res,,
174,2253737.139,-94306.8404,1,175,n,6/24/2019,CNES ,,,
175,2212397.139,145783.1596,1,176,n,6/13/2014,maxar,,,
176,2065907.139,188923.1596,1,177,n,6/20/2010,maxar,,,
177,2133497.139,309523.1596,1,178,n,9/24/2012,maxar,,,
178,2161517.139,393013.1596,1,179,g,9/6/2012,maxar,,,
179,2200997.139,138013.1596,1,180,n,6/7/2010,maxar,,,
180,2178107.139,343003.1596,1,181,n,8/4/2012,maxar,,,
181,2168147.139,363703.1596,1,182,n,8/22/2012,maxar,,,
182,2241437.139,390103.1596,1,183,n,7/10/2012,maxar,,,
183,2179007.139,390613.1596,1,184,u,,landsat,low res,,
184,2046227.139,174283.1596,1,185,u,,maxar,could be glacier,,
185,2222237.139,454063.1596,1,186,n,12/1/2016,landsat,,,
186,2135267.139,357643.1596,1,187,n,8/4/2012,maxar,,,
187,2035937.139,17953.1596,1,188,u,,landsat,could be glacier,,
188,2159687.139,257773.1596,1,189,n,5/31/2013,maxar,,,
189,2118827.139,305353.1596,1,190,u,,landsat,low res,,
190,2241827.139,478753.1596,1,191,n,8/21/2004,maxar,,,
191,2132267.139,310123.1596,1,192,u,,maxar,shaded,,
192,2065547.139,189373.1596,1,193,n,8/12/2012,maxar,,,
193,2143787.139,-193816.8404,1,194,n,12/1/2016,landsat,,,
194,2236217.139,415753.1596,1,195,n,12/1/2016,landsat,,,
195,2166707.139,342673.1596,1,196,n,8/4/2012,maxar,,,
196,2163617.139,360613.1596,1,197,u,,maxar,could be glacier,,
197,2038067.139,374623.1596,1,198,w,8/22/2012,maxar,,,
198,2097437.139,317113.1596,1,199,n,8/22/2012,maxar,,,
199,2031407.139,44653.1596,1,200,u,,maxar,glacier,y,too close to edge
200,2163407.139,361753.1596,1,201,n,8/4/2012,maxar,,,
201,2024777.139,174493.1596,1,202,g,8/22/2012,maxar,,m,near edge
202,2288987.139,-38326.8404,1,203,n,8/7/2012,maxar,,,
203,2162747.139,363973.1596,1,204,n,8/22/2012,maxar,,,
204,2121497.139,307813.1596,1,205,n,8/8/2010,maxar,,,
205,2139917.139,342133.1596,1,206,n,8/13/2009,maxar,,,
206,2281277.139,-61486.8404,1,207,n,7/19/2009,maxar,,,
207,2102837.139,337513.1596,1,208,u,,landsat,unlikely glacier,,
208,2159507.139,342733.1596,1,209,n,8/4/2012,maxar,,,
209,2116817.139,298453.1596,1,210,n,8/4/2012,maxar,,,
210,2069477.139,-208426.8404,1,211,n,9/18/2010,maxar,,,
211,2122817.139,348043.1596,1,212,n,6/7/2011,maxar,,m,near edge
212,2244347.139,395203.1596,1,213,n,7/10/2012,maxar,,,
213,2241827.139,474223.1596,1,214,n,12/1/2016,landsat,,,
214,2121017.139,317233.1596,1,215,n,8/8/2010,maxar,,,
215,2163737.139,359143.1596,1,216,n,8/4/2012,maxar,,,
216,2222357.139,429133.1596,1,217,n,7/10/2012,maxar,,,
217,2085347.139,296623.1596,1,218,u,,landsat,low res,,
218,2099567.139,330283.1596,1,219,n,12/1/2016,landsat,,,
219,1940717.139,-40066.8404,1,220,u,,landsat,image artificat ,,
220,2146037.139,384943.1596,1,221,n,8/22/2012,maxar,,,
221,2065817.139,192823.1596,1,222,n,4/10/2010,maxar,,,
222,2112977.139,300433.1596,1,223,n,12/1/2016,landsat,,,
223,2134217.139,413473.1596,1,224,n,4/10/2013,maxar,,,
224,2083757.139,373573.1596,1,225,n,12/1/2016,landsat,,,
225,2133047.139,308473.1596,1,226,u,,,,y,too close to another pt
226,2157407.139,318613.1596,1,227,n,12/1/2016,landsat,,,
227,2144537.139,394933.1596,1,228,n,8/22/2012,maxar,,,
228,1937117.139,-9046.8404,1,229,u,,landsat,low res,,
229,2139647.139,325153.1596,1,230,n,8/20/2009,maxar,,,
230,2059097.139,236803.1596,1,231,u,,maxar,insufficient images,,
231,2069417.139,195343.1596,1,232,n,7/11/2018,maxar,,,
232,2254757.139,-99256.8404,1,233,n,6/24/2019,CNES ,,,
233,2155907.139,361093.1596,1,234,n,8/22/2012,maxar,near glacier,,
234,2158547.139,257623.1596,1,235,n,5/31/2013,maxar,,,
235,2168207.139,368143.1596,1,236,n,8/22/2012,maxar,,,
236,2136257.139,303793.1596,1,237,u,,maxar,shaded,,
237,2173247.139,404263.1596,1,238,u,7/10/2012,maxar,glacier,y,too close to edge
238,2240927.139,477853.1596,1,239,n,8/21/2004,maxar,,,
239,2323697.139,-141226.8404,1,240,n,7/17/2009,maxar,,,
240,2160557.139,311983.1596,1,241,n,12/1/2016,landsat,,,
241,2095757.139,315163.1596,1,242,n,8/8/2010,maxar,,,
242,2066387.139,193483.1596,1,243,n,9/25/2006,maxar,,,
243,2031737.139,196873.1596,1,244,u,,maxar,could be glacier,,
244,2168507.139,409363.1596,1,245,d,7/10/2012,maxar,could be glacier,,
245,2022887.139,133693.1596,1,246,g,7/1/2007,maxar,,m,temporal disconnect
246,2108537.139,345463.1596,1,247,n,12/1/2016,landsat,,,
247,2141027.139,304753.1596,1,248,n,9/24/2012,maxar,,,
248,2245307.139,419863.1596,1,249,n,8/11/2014,maxar,,,
249,2033897.139,-19996.8404,1,250,g,12/1/2016,landsat,,,
250,2100347.139,318133.1596,1,251,u,,maxar,,,
251,2158427.139,363883.1596,1,252,n,8/22/2012,maxar,near glacier,y,too close to edge
252,1944257.139,-21586.8404,1,253,u,,landsat,low res,,
253,2314127.139,15553.1596,1,254,w,12/1/2016,landsat,,,
254,2176547.139,383533.1596,1,255,n,8/22/2012,maxar,near glacier,,
255,1982957.139,-36916.8404,1,256,u,,maxar,shaded,,
256,2120867.139,307303.1596,1,257,u,,maxar,unlikely glacier,,
257,2162387.139,365203.1596,1,258,n,8/22/2012,maxar,near glacier,y,too close to edge
258,2267777.139,8863.1596,1,259,n,7/19/2009,maxar,,,
259,2134997.139,353923.1596,1,260,u,,maxar,very shaded,,
260,2126567.139,355243.1596,1,261,n,12/1/2016,landsat,,,
261,2247407.139,-2206.8404,1,262,w,8/22/2012,maxar,,,
262,2129927.139,240643.1596,1,263,n,7/6/2014,maxar,,,
263,1997297.139,-149986.8404,1,264,n,6/30/2010,maxar,,,
264,2248277.139,-25876.8404,1,265,n,9/19/2012,maxar,,,
265,2120147.139,262003.1596,1,266,n,6/25/2010,maxar,,,
266,2155127.139,234583.1596,1,267,n,7/6/2014,maxar,,,
267,2261867.139,-41386.8404,1,268,n,8/7/2012,maxar,,,
268,2101397.139,337003.1596,1,269,n,12/1/2016,landsat,,,
269,2138237.139,241033.1596,1,270,n,7/6/2014,maxar,,,
270,2112407.139,297943.1596,1,271,u,,landsat,low res,,
271,2232347.139,418063.1596,1,272,n,8/11/2014,maxar,,,
272,2304557.139,-96196.8404,1,273,n,6/17/2011,maxar,,,
273,2101517.139,307903.1596,1,274,n,12/1/2016,landsat,,,
274,2237237.139,424303.1596,1,275,n,7/10/2012,maxar,,,
275,2171267.139,325723.1596,1,276,u,,maxar,low res,,
276,2227067.139,463183.1596,1,277,n,12/1/2016,landsat,river bed,,
277,2096387.139,314623.1596,1,278,u,,maxar,very shaded,,
278,2095397.139,334273.1596,1,279,u,,landsat,,,
279,2029457.139,143323.1596,1,280,u,7/1/2007,maxar,glacier,y,temporal disconnect
280,2105747.139,343453.1596,1,281,u,,landsat,low res,,
281,2141927.139,311743.1596,1,282,u,,maxar,image artificat ,,
282,2234567.139,408463.1596,1,283,n,8/11/2014,maxar,,,
283,2160857.139,345463.1596,1,284,n,8/4/2012,maxar,,,
284,2180237.139,-165796.8404,1,285,n,6/10/2013,maxar,river bed,,
285,2161517.139,360373.1596,1,286,u,,maxar,very shaded,,
286,2100107.139,335323.1596,1,287,u,,landsat,unlikely glacier,,
287,2118437.139,342973.1596,1,288,n,12/1/2016,landsat,,,
288,2168627.139,340813.1596,1,289,u,,landsat,,,
289,2154137.139,357583.1596,1,290,n,8/4/2012,maxar,,,
290,2239727.139,421333.1596,1,291,n,8/11/2014,maxar,,,
291,2126927.139,305623.1596,1,292,u,,maxar,image artificat ,,
292,2100527.139,306193.1596,1,293,u,,landsat,unlikely glacier,,
293,2102267.139,335923.1596,1,294,n,12/1/2016,landsat,,,
294,2129297.139,361483.1596,1,295,n,12/1/2016,landsat,,,
295,2126357.139,305923.1596,1,296,n,8/8/2010,maxar,,,
296,2064587.139,264073.1596,1,297,n,6/25/2010,maxar,,,
297,2176097.139,358993.1596,1,298,n,8/4/2012,maxar,,,
298,2289707.139,-244096.8404,1,299,n,7/17/2009,maxar,,,
299,2037557.139,376213.1596,1,300,w,8/31/2008,,,,
300,2102717.139,336163.1596,1,301,,,,,,
301,2096537.139,304153.1596,1,302,,,,,,
302,2317907.139,-157456.8404,1,303,,,,,,
303,2231177.139,384853.1596,1,304,,,,,,
304,2169677.139,347353.1596,1,305,,,,,,
305,1957937.139,-64576.8404,1,306,,,,,,
306,2161097.139,403543.1596,1,307,,,,,,
307,2124497.139,345673.1596,1,308,,,,,,
308,2082857.139,462793.1596,1,309,,,,,,
309,2163857.139,347053.1596,1,310,,,,,,
310,2090687.139,331273.1596,1,311,,,,,,
311,2065817.139,189103.1596,1,312,,,,,,
312,2106107.139,341503.1596,1,313,,,,,,
313,2246597.139,422023.1596,1,314,,,,,,
314,2177057.139,384133.1596,1,315,,,,,,
315,2250557.139,442873.1596,1,316,,,,,,
316,2032457.139,131083.1596,1,317,,,,,,
317,2284637.139,-10336.8404,1,318,,,,,,
318,2144267.139,365113.1596,1,319,,,,,,
319,2140697.139,341653.1596,1,320,,,,,,
320,2242727.139,472003.1596,1,321,,,,,,
321,2134577.139,246043.1596,1,322,,,,,,
322,2083457.139,376123.1596,1,323,,,,,,
323,2118227.139,173833.1596,1,324,,,,,,
324,2154827.139,363493.1596,1,325,,,,,,
325,2142167.139,344323.1596,1,326,,,,,,
326,2127827.139,305203.1596,1,327,,,,,,
327,2312807.139,31243.1596,1,328,,,,,,
328,2160197.139,256633.1596,1,329,,,,,,
329,2224547.139,508693.1596,1,330,,,,,,
330,2191397.139,478963.1596,1,331,,,,,,
331,2162057.139,253843.1596,1,332,,,,,,
332,2213687.139,-122266.8404,1,333,,,,,,
333,2161457.139,231613.1596,1,334,,,,,,
334,2099807.139,329923.1596,1,335,,,,,,
335,2311397.139,33073.1596,1,336,,,,,,
336,2139767.139,307633.1596,1,337,,,,,,
337,2157857.139,332683.1596,1,338,,,,,,
338,2110727.139,346243.1596,1,339,,,,,,
339,2140907.139,343813.1596,1,340,,,,,,
340,2067317.139,193873.1596,1,341,,,,,,
341,2134127.139,356323.1596,1,342,,,,,,
342,2105837.139,344203.1596,1,343,,,,,,
343,2070917.139,267763.1596,1,344,,,,,,
344,2151197.139,363193.1596,1,345,,,,,,
345,2226317.139,-194476.8404,1,346,,,,,,
346,2239607.139,474763.1596,1,347,,,,,,
347,2154197.139,363373.1596,1,348,,,,,,
348,2143337.139,328663.1596,1,349,,,,,,
349,2249477.139,441823.1596,1,350,,,,,,
350,2222237.139,497833.1596,1,351,,,,,,
351,2165777.139,355003.1596,1,352,,,,,,
352,2107547.139,343333.1596,1,353,,,,,,
353,2132027.139,419323.1596,1,354,,,,,,
354,2167817.139,392593.1596,1,355,,,,,,
355,2107427.139,330613.1596,1,356,,,,,,
356,2237447.139,-118036.8404,1,357,,,,,,
357,2247047.139,421993.1596,1,358,,,,,,
358,2260967.139,-82846.8404,1,359,,,,,,
359,2055737.139,238993.1596,1,360,,,,,,
360,2307347.139,-80086.8404,1,361,,,,,,
361,2244107.139,438223.1596,1,362,,,,,,
362,2282717.139,-103696.8404,1,363,,,,,,
363,2088947.139,304183.1596,1,364,,,,,,
364,2154407.139,358453.1596,1,365,,,,,,
365,2249267.139,-20176.8404,1,366,,,,,,
366,2094617.139,311053.1596,1,367,,,,,,
367,2149487.139,309373.1596,1,368,,,,,,
368,2260637.139,385753.1596,1,369,,,,,,
369,2111507.139,342043.1596,1,370,,,,,,
370,2224577.139,494743.1596,1,371,,,,,,
371,2115977.139,302503.1596,1,372,,,,,,
372,1938287.139,-5056.8404,1,373,,,,,,
373,2102147.139,333343.1596,1,374,,,,,,
374,2129267.139,351193.1596,1,375,,,,,,
375,2067377.139,193813.1596,1,376,,,,,,
376,2143307.139,397843.1596,1,377,,,,,,
377,2084357.139,377683.1596,1,378,,,,,,
378,2307497.139,-163426.8404,1,379,,,,,,
379,2240327.139,479233.1596,1,380,,,,,,
380,2219537.139,416713.1596,1,381,,,,,,
381,2151587.139,406963.1596,1,382,,,,,,
382,2178977.139,462013.1596,1,383,,,,,,
383,2119217.139,311953.1596,1,384,,,,,,
384,2130557.139,249943.1596,1,385,,,,,,
385,2021417.139,166693.1596,1,386,,,,,,
386,2144687.139,346063.1596,1,387,,,,,,
387,2122307.139,298603.1596,1,388,,,,,,
388,2152337.139,346423.1596,1,389,,,,,,
389,2145527.139,338983.1596,1,390,,,,,,
390,2178197.139,385303.1596,1,391,,,,,,
391,2145107.139,368563.1596,1,392,,,,,,
392,2123627.139,352633.1596,1,393,,,,,,
393,2101097.139,328033.1596,1,394,,,,,,
394,2103617.139,339343.1596,1,395,,,,,,
395,2104907.139,334243.1596,1,396,,,,,,
396,2101697.139,326983.1596,1,397,,,,,,
397,2185637.139,344383.1596,1,398,,,,,,
398,2153687.139,300853.1596,1,399,,,,,,
399,2132777.139,349063.1596,1,400,,,,,,
400,2241077.139,474583.1596,1,401,,,,,,
401,2108867.139,338053.1596,1,402,,,,,,
402,2178827.139,345523.1596,1,403,,,,,,
403,2143157.139,365233.1596,1,404,,,,,,
404,2231627.139,467503.1596,1,405,,,,,,
405,2093357.139,327643.1596,1,406,,,,,,
406,2162807.139,-162616.8404,1,407,,,,,,
407,2030567.139,210523.1596,1,408,,,,,,
408,2225057.139,402823.1596,1,409,,,,,,
409,2230787.139,458383.1596,1,410,,,,,,
410,2167697.139,360493.1596,1,411,,,,,,
411,2241587.139,429073.1596,1,412,,,,,,
412,2167607.139,338413.1596,1,413,,,,,,
413,2296097.139,-128026.8404,1,414,,,,,,
414,2117087.139,331423.1596,1,415,,,,,,
415,2116787.139,297853.1596,1,416,,,,,,
416,2083907.139,346993.1596,1,417,,,,,,
417,2122577.139,263053.1596,1,418,,,,,,
418,2142527.139,368893.1596,1,419,,,,,,
419,2120987.139,348163.1596,1,420,,,,,,
420,2149247.139,359773.1596,1,421,,,,,,
421,2166767.139,339853.1596,1,422,,,,,,
422,2111627.139,345973.1596,1,423,,,,,,
423,2164307.139,334183.1596,1,424,,,,,,
424,2284697.139,32053.1596,1,425,,,,,,
425,2159507.139,343633.1596,1,426,,,,,,
426,2116397.139,302443.1596,1,427,,,,,,
427,2129657.139,361813.1596,1,428,,,,,,
428,2177267.139,386203.1596,1,429,,,,,,
429,2228417.139,421963.1596,1,430,,,,,,
430,2211287.139,86923.1596,1,431,,,,,,
431,2100587.139,338503.1596,1,432,,,,,,
432,2163617.139,347353.1596,1,433,,,,,,
433,2098697.139,314353.1596,1,434,,,,,,
434,2120987.139,263833.1596,1,435,,,,,,
435,2095427.139,308413.1596,1,436,,,,,,
436,2115617.139,345463.1596,1,437,,,,,,
437,2229527.139,441733.1596,1,438,,,,,,
438,2163677.139,347323.1596,1,439,,,,,,
439,2116277.139,89233.1596,1,440,,,,,,
440,2217467.139,479893.1596,1,441,,,,,,
441,2153507.139,415363.1596,1,442,,,,,,
442,2163257.139,394483.1596,1,443,,,,,,
443,2175467.139,220483.1596,1,444,,,,,,
444,2181617.139,403903.1596,1,445,,,,,,
445,2115917.139,302173.1596,1,446,,,,,,
446,2311487.139,-30226.8404,1,447,,,,,,
447,2133677.139,352633.1596,1,448,,,,,,
