,lat,lon,value,id,class,image_date,image_source,notes,discard,reason
67,2155577.139,180373.1596,1,68,n,6/12/2014,maxar,,,
68,2221547.139,78133.1596,1,69,n,6/20/2012,maxar,,,
69,1857827.139,254143.1596,1,70,n,12/1/2016,landsat,,,
70,2307137.139,-84106.8404,1,71,n,6/25/2011,maxar,,,
71,2134577.139,465283.1596,1,72,n,6/18/2013,maxar,,,
72,1941167.139,-181396.8404,1,73,n,8/23/2014,maxar,,,
73,2165327.139,273193.1596,1,74,n,4/18/2010,maxar,,,
74,1908317.139,24013.1596,1,75,n,12/1/2016,landsat,,,
75,1947947.139,-78256.8404,1,76,n,7/28/2014,maxar,,,
76,1829027.139,178423.1596,1,77,n,12/1/2016,landsat,,,
77,2021057.139,100513.1596,1,78,n,6/22/2015,maxar,,,
78,1782047.139,-214876.8404,1,79,n,12/1/2016,landsat,,,
79,2009567.139,303793.1596,1,80,n,12/1/2016,landsat,,,
80,1854347.139,11593.1596,1,81,n,5/27/2011,maxar,,,
81,1839137.139,-255076.8404,1,82,w,12/1/2016,landsat,freshwater,,
82,1878647.139,440653.1596,1,83,n,12/1/2016,landsat,,,
83,2224217.139,-239806.8404,1,84,n,12/1/2016,landsat,,,
84,1981037.139,261613.1596,1,85,n,12/1/2016,landsat,,,
85,1861157.139,11743.1596,1,86,n,12/1/2016,landsat,,,
86,1822637.139,441883.1596,1,87,n,6/22/2010,maxar,,,
87,1779857.139,168823.1596,1,88,n,12/1/2016,landsat,,,
88,1868627.139,-146746.8404,1,89,n,9/28/2009,maxar,,,
89,2093837.139,284743.1596,1,90,n,12/1/2016,landsat,,,
90,1780817.139,153643.1596,1,91,n,9/22/2009,maxar,,,
91,1856477.139,488023.1596,1,92,n,12/1/2016,landsat,,,
92,1963697.139,-155806.8404,1,93,n,6/4/2012,maxar,,,
93,1795217.139,267703.1596,1,94,n,6/3/2012,maxar,,,
94,2206097.139,-47476.8404,1,95,n,8/4/2012,maxar,,,
95,2291417.139,196003.1596,1,96,w,12/1/2016,landsat,likely sea ice,,
96,1783667.139,118693.1596,1,97,n,12/1/2016,landsat,,,
97,2121407.139,391873.1596,1,98,n,5/19/2013,maxar,,,
98,2017817.139,160633.1596,1,99,n,7/1/2007,maxar,,,
99,1806737.139,-138226.8404,1,100,n,10/8/2011,maxar,,,
100,1910837.139,-57976.8404,1,101,n,5/28/2011,maxar,,,
101,2013377.139,326683.1596,1,102,n,9/9/2008,maxar,,,
102,1996967.139,391903.1596,1,103,n,12/1/2016,landsat,,,
103,1822217.139,269923.1596,1,104,w,6/3/2010,maxar,freshwater,,
104,2080637.139,56023.1596,1,105,n,12/1/2016,landsat,,,
105,2112257.139,199813.1596,1,106,n,8/25/2013,maxar,,,
106,2242277.139,-176176.8404,1,107,n,7/31/2002,maxar,,,
107,1866977.139,525703.1596,1,108,n,5/20/2009,maxar,,,
108,2017937.139,351043.1596,1,109,n,9/13/2010,maxar,,,
109,2125457.139,491623.1596,1,110,n,9/14/2009,maxar,,,
110,2185247.139,-246406.8404,1,111,n,6/22/2010,maxar,,,
111,2006597.139,417103.1596,1,112,n,9/4/2007,maxar,,,
112,2261957.139,78283.1596,1,113,n,12/1/2016,landsat,,,
113,2304917.139,273223.1596,1,114,w,,,,y,too far from shroe
114,1836017.139,-82426.8404,1,115,n,12/1/2016,landsat,,,
115,2151377.139,446983.1596,1,116,n,6/18/2013,maxar,,,
116,2086427.139,315013.1596,1,117,n,12/1/2016,landsat,,,
117,2219867.139,142303.1596,1,118,n,6/13/2014,maxar,,,
118,2114237.139,-208696.8404,1,119,n,12/1/2016,landsat,,,
119,2234537.139,96673.1596,1,120,n,8/4/2004,maxar,,,
120,2273417.139,502303.1596,1,121,w,12/1/2016,landsat,,,
121,1791737.139,-173746.8404,1,122,n,12/1/2016,landsat,,,
122,1839977.139,-12886.8404,1,123,n,4/10/2012,maxar,,,
123,1889957.139,387523.1596,1,124,n,12/1/2016,landsat,,,
124,2277977.139,-256366.8404,1,125,n,12/1/2016,landsat,,,
125,1859867.139,265243.1596,1,126,n,12/1/2016,landsat,,,
126,2180117.139,2533.1596,1,127,n,6/30/2010,maxar,,,
127,1998287.139,-34906.8404,1,128,n,12/1/2016,landsat,,,
128,2325797.139,428203.1596,1,129,w,,,,y,too far from shore
129,2112017.139,429913.1596,1,130,n,6/27/2013,maxar,,,
130,2201327.139,-217426.8404,1,131,n,12/1/2016,landsat,,,
131,2009897.139,-181846.8404,1,132,n,8/17/2005,maxar,,,
132,1874057.139,525583.1596,1,133,n,5/20/2009,maxar,,,
133,2223557.139,86983.1596,1,134,n,12/1/2016,landsat,,,
134,2265977.139,-190606.8404,1,135,n,8/14/2005,maxar,,,
135,2296007.139,442603.1596,1,136,w,,,,y,too far from shore
136,1877237.139,210133.1596,1,137,n,12/1/2016,landsat,,,
137,2320997.139,498913.1596,1,138,w,,,,y,too far from shore
138,2266187.139,42553.1596,1,139,n,12/1/2016,landsat,,,
139,2240597.139,-233866.8404,1,140,n,7/25/2009,maxar,,,
140,2091017.139,-7336.8404,1,141,n,12/1/2016,landsat,,,
141,1990097.139,146683.1596,1,142,n,7/4/2014,maxar,,,
142,2181167.139,225133.1596,1,143,n,7/6/2014,maxar,,,
143,2082947.139,-123286.8404,1,144,n,12/1/2016,landsat,,,
144,2299367.139,-174436.8404,1,145,n,7/22/2012,maxar,,,
145,2194997.139,-43396.8404,1,146,n,8/4/2012,maxar,,,
146,2202977.139,-63196.8404,1,147,n,6/19/2010,maxar,,,
147,1947407.139,-223516.8404,1,148,n,5/5/2015,maxar,,,
148,1950467.139,-208546.8404,1,149,n,7/9/2015,maxar,,,
149,2325077.139,268753.1596,1,150,w,,,,y,too far from shore
150,2112317.139,252403.1596,1,151,n,12/1/2016,landsat,,,
151,1917947.139,471853.1596,1,152,n,6/3/2010,maxar,,,
152,2184257.139,501043.1596,1,153,n,12/1/2016,landsat,,,
153,2182637.139,-103066.8404,1,154,n,12/1/2016,landsat,,,
154,1910387.139,206773.1596,1,155,n,12/1/2016,landsat,,,
155,1820717.139,82513.1596,1,156,n,8/28/2009,maxar,,,
156,1862387.139,14953.1596,1,157,n,5/27/2011,maxar,,,
157,1795067.139,418183.1596,1,158,n,4/10/2014,maxar,,,
158,1934837.139,-108916.8404,1,159,n,7/28/2014,maxar,,,
159,2011037.139,-90616.8404,1,160,n,7/7/2010,maxar,,,
160,2297897.139,-100186.8404,1,161,n,6/17/2011,maxar,,,
161,2313977.139,36763.1596,1,162,n,9/23/2012,maxar,,,
162,2004107.139,-238216.8404,1,163,n,8/14/2008,maxar,,,
163,2223887.139,213133.1596,1,164,n,7/6/2014,maxar,,,
164,2306177.139,492193.1596,1,165,w,,,,y,
165,1816157.139,429613.1596,1,166,n,12/1/2016,landsat,,,
166,2305697.139,137443.1596,1,167,w,12/1/2016,landsat,,,
167,2097647.139,-9946.8404,1,168,n,12/1/2016,landsat,,,
168,2207777.139,364813.1596,1,169,n,8/22/2012,maxar,,,
169,2036447.139,6343.1596,1,170,n,12/1/2016,landsat,,,
170,2322137.139,-142366.8404,1,171,n,6/27/2009,maxar,,,
171,2066777.139,117343.1596,1,172,n,8/23/2010,maxar,,,
172,2262737.139,154753.1596,1,173,n,8/26/2014,maxar,,,
173,2127287.139,-46876.8404,1,174,n,8/18/2011,maxar,,,
174,2216237.139,129013.1596,1,175,n,12/1/2016,landsat,,,
175,1999607.139,146923.1596,1,176,n,7/4/2014,maxar,,,
176,2125337.139,452083.1596,1,177,n,6/18/2013,maxar,,,
177,2228987.139,162073.1596,1,178,n,8/26/2014,maxar,,,
178,2106527.139,-82426.8404,1,179,n,8/13/2010,maxar,,,
179,2121077.139,386203.1596,1,180,n,7/10/2012,maxar,,,
180,2189807.139,220093.1596,1,181,n,12/1/2016,landsat,,,
181,2269037.139,-140506.8404,1,182,n,12/1/2016,landsat,,,
182,1942097.139,-26566.8404,1,183,n,12/1/2016,landsat,,,
183,2071937.139,-37366.8404,1,184,n,12/1/2016,landsat,,,
184,2101397.139,125083.1596,1,185,n,8/21/2011,maxar,,,
185,1956797.139,317563.1596,1,186,n,5/7/2010,maxar,,,
186,1992287.139,-210376.8404,1,187,n,5/24/2010,maxar,,,
187,1815797.139,-159016.8404,1,188,n,12/1/2016,landsat,,,
188,1878287.139,138463.1596,1,189,n,3/14/2012,maxar,,,
189,2236787.139,424933.1596,1,190,n,8/11/2014,maxar,,,
190,1966847.139,149023.1596,1,191,n,7/4/2014,maxar,,,
191,2127947.139,-54736.8404,1,192,n,6/16/2010,maxar,,,
192,2078387.139,255793.1596,1,193,n,12/1/2016,landsat,,,
193,2041787.139,12583.1596,1,194,n,6/16/2015,maxar,,,
194,2220077.139,520723.1596,1,195,n,12/1/2016,landsat,,,
195,1993307.139,200683.1596,1,196,n,6/2/2011,maxar,,,
196,1967537.139,434413.1596,1,197,n,9/5/2009,maxar,,,
197,1929917.139,479683.1596,1,198,n,12/1/2016,landsat,,,
198,1844147.139,-37096.8404,1,199,n,4/10/2012,maxar,,,
199,1777817.139,141043.1596,1,200,n,9/22/2009,maxar,,,
200,2296007.139,-79036.8404,1,201,n,12/1/2016,landsat,,,
201,2144987.139,-249286.8404,1,202,n,6/22/2010,maxar,,,
202,2291987.139,-113356.8404,1,203,n,7/21/2012,maxar,,,
203,2322527.139,471613.1596,1,204,w,,,,y,
204,2023787.139,306403.1596,1,205,n,12/1/2016,landsat,,,
205,2321117.139,127633.1596,1,206,w,,,,y,
206,2118977.139,-76726.8404,1,207,n,8/13/2010,maxar,,,
207,1808747.139,264823.1596,1,208,n,6/3/2012,maxar,,,
208,2229977.139,-212566.8404,1,209,n,12/1/2016,landsat,,,
209,1937627.139,375043.1596,1,210,n,12/1/2016,landsat,,,
210,2028977.139,-110056.8404,1,211,n,12/1/2016,landsat,,,
211,1918157.139,-204766.8404,1,212,n,7/9/2015,maxar,freshwater,,
212,2292767.139,-243166.8404,1,213,n,12/1/2016,landsat,,,
213,1804037.139,-15106.8404,1,214,n,6/25/2012,maxar,,,
214,2045567.139,142933.1596,1,215,n,8/8/2016,maxar,,,
215,2038187.139,490243.1596,1,216,n,12/1/2016,landsat,,,
216,2148917.139,472363.1596,1,217,n,6/26/2011,maxar,,,
217,2036807.139,-138016.8404,1,218,n,12/1/2016,landsat,,,
218,1981937.139,206053.1596,1,219,n,9/11/2011,maxar,,,
219,2053487.139,387703.1596,1,220,n,8/7/2012,maxar,,,
220,2243837.139,79483.1596,1,221,n,6/20/2012,maxar,,,
221,1779737.139,356773.1596,1,222,n,12/1/2016,landsat,,,
222,1964987.139,75763.1596,1,223,n,6/17/2013,maxar,,,
223,2111507.139,405913.1596,1,224,n,12/1/2016,landsat,,,
224,2233427.139,346963.1596,1,225,n,8/4/2012,maxar,,,
225,2067227.139,45523.1596,1,226,n,8/25/2013,maxar,,,
226,1938647.139,114553.1596,1,227,n,12/1/2016,landsat,,,
227,1866947.139,-256396.8404,1,228,n,12/1/2016,landsat,,,
228,2063117.139,121123.1596,1,229,n,8/23/2010,maxar,,,
229,1812467.139,49663.1596,1,230,n,12/1/2016,landsat,,,
230,2287007.139,375523.1596,1,231,w,,,,y,
231,2131277.139,-234496.8404,1,232,n,5/25/2010,maxar,,,
232,2065037.139,-107266.8404,1,233,n,12/1/2016,landsat,,,
233,1959857.139,408583.1596,1,234,n,12/1/2016,landsat,,,
234,1826267.139,-136006.8404,1,235,n,12/1/2016,landsat,,,
235,2077877.139,41623.1596,1,236,n,7/12/2015,maxar,,,
236,1876277.139,43453.1596,1,237,n,9/7/2004,maxar,,,
237,1894667.139,-58786.8404,1,238,n,8/18/2011,maxar,,,
238,1850687.139,-187486.8404,1,239,n,5/25/2011,maxar,,,
239,1862207.139,436183.1596,1,240,n,12/1/2016,landsat,,,
240,2095127.139,166273.1596,1,241,n,9/21/2014,maxar,,,
241,1982867.139,524803.1596,1,242,n,5/23/2009,maxar,,,
242,2294387.139,-68416.8404,1,243,n,7/19/2009,maxar,,,
243,1822967.139,-68356.8404,1,244,n,12/1/2016,landsat,,,
244,2137217.139,-158026.8404,1,245,n,12/1/2016,landsat,,,
245,1859687.139,231043.1596,1,246,n,6/6/2010,maxar,,,
246,2254487.139,326023.1596,1,247,w,7/17/2004,maxar,,,
247,2147027.139,-125566.8404,1,248,n,12/1/2016,landsat,,,
248,2290067.139,134443.1596,1,249,w,12/1/2016,landsat,,,
249,1883537.139,476713.1596,1,250,n,6/3/2010,maxar,,,
250,2023187.139,159883.1596,1,251,n,7/1/2007,maxar,,,
251,1909037.139,141343.1596,1,252,n,5/9/2014,maxar,,,
252,2319017.139,279853.1596,1,253,w,,,,y,
253,2066657.139,145933.1596,1,254,n,5/22/2009,maxar,,,
254,2156567.139,21673.1596,1,255,n,6/23/2010,maxar,,,
255,2156207.139,345823.1596,1,256,n,8/4/2012,maxar,,,
256,1925987.139,143293.1596,1,257,n,7/4/2014,maxar,,,
257,2035487.139,526363.1596,1,258,n,7/27/2009,maxar,,,
258,1859597.139,162703.1596,1,259,n,12/1/2016,landsat,,,
259,1974197.139,247843.1596,1,260,n,12/1/2016,landsat,,,
260,1910147.139,-105916.8404,1,261,n,12/1/2016,landsat,,,
261,1896107.139,189523.1596,1,262,n,12/1/2016,landsat,,,
262,2272997.139,236083.1596,1,263,w,12/1/2016,landsat,,,
263,1989227.139,456943.1596,1,264,n,8/19/2010,maxar,,,
264,1959167.139,467263.1596,1,265,n,12/1/2016,landsat,,,
265,2034257.139,272023.1596,1,266,n,6/25/2010,maxar,,,
266,2320307.139,80683.1596,1,267,n,12/1/2016,landsat,,,
267,1817207.139,-198016.8404,1,268,n,8/18/2011,maxar,,,
268,1783847.139,37513.1596,1,269,n,12/1/2016,landsat,,,
269,2243897.139,324463.1596,1,270,n,8/14/2004,maxar,,,
270,2062607.139,346273.1596,1,271,n,12/1/2016,landsat,,,
271,2147927.139,263233.1596,1,272,n,9/19/2012,maxar,,,
272,2262797.139,-201796.8404,1,273,w,7/6/2009,maxar,freshwater,,
273,2143367.139,318283.1596,1,274,n,9/24/2012,maxar,,,
274,2321207.139,292123.1596,1,275,w,,,,y,
275,2113637.139,9943.1596,1,276,n,9/17/2010,maxar,,,
276,2293607.139,-76666.8404,1,277,n,6/25/2011,maxar,,,
277,1825457.139,226243.1596,1,278,n,6/6/2010,maxar,,,
278,1910657.139,442603.1596,1,279,n,6/22/2010,maxar,,,
279,1828637.139,-31036.8404,1,280,n,12/1/2016,landsat,,,
280,2311337.139,-188056.8404,1,281,n,12/1/2016,landsat,,,
281,2160677.139,262183.1596,1,282,w,12/1/2016,landsat,freshwater,,
282,2044127.139,-6766.8404,1,283,n,6/7/2014,maxar,,,
283,2138147.139,-219706.8404,1,284,n,12/1/2016,landsat,,,
284,1973447.139,-214786.8404,1,285,n,12/1/2016,landsat,,,
285,1998917.139,132163.1596,1,286,n,5/19/2014,maxar,,,
286,2297927.139,152293.1596,1,287,w,12/1/2016,landsat,,,
287,2249777.139,305173.1596,1,288,n,9/17/2012,maxar,,,
288,2321327.139,23593.1596,1,289,n,7/13/2009,maxar,,,
289,2093267.139,173833.1596,1,290,u,9/21/2014,maxar,,,
290,2185547.139,115213.1596,1,291,n,9/9/2010,maxar,,,
291,1905287.139,-253696.8404,1,292,n,8/19/2013,maxar,,,
292,2023517.139,35623.1596,1,293,n,7/20/2005,maxar,,,
293,2035427.139,-124426.8404,1,294,n,12/1/2016,landsat,,,
294,2225447.139,28543.1596,1,295,n,8/11/2012,maxar,,,
295,1926497.139,-53776.8404,1,296,n,7/28/2014,maxar,,,
296,2049587.139,61993.1596,1,297,n,5/20/2008,maxar,,,
297,1970627.139,-198496.8404,1,298,n,7/29/2015,maxar,,,
298,2024477.139,317593.1596,1,299,n,1-Dec,landsat,,,
299,2059007.139,493543.1596,1,300,n,6/18/2013,maxar,,,
300,2237777.139,148093.1596,1,301,,,,,,
301,1860167.139,341323.1596,1,302,,,,,,
302,2195837.139,302143.1596,1,303,,,,,,
303,2094467.139,-85936.8404,1,304,,,,,,
304,2237087.139,-81076.8404,1,305,,,,,,
305,2186537.139,286243.1596,1,306,,,,,,
306,2286047.139,-190606.8404,1,307,,,,,,
307,2301257.139,-258016.8404,1,308,,,,,,
308,2297777.139,370033.1596,1,309,,,,,,
309,2063837.139,11683.1596,1,310,,,,,,
310,2213807.139,152293.1596,1,311,,,,,,
311,1987157.139,-249496.8404,1,312,,,,,,
312,2017157.139,-58756.8404,1,313,,,,,,
313,2305637.139,385753.1596,1,314,,,,,,
314,2078237.139,530083.1596,1,315,,,,,,
315,2298737.139,-152386.8404,1,316,,,,,,
316,1998497.139,-126946.8404,1,317,,,,,,
317,2233217.139,253813.1596,1,318,,,,,,
318,2085497.139,443143.1596,1,319,,,,,,
319,2285207.139,456373.1596,1,320,,,,,,
320,2020967.139,140173.1596,1,321,,,,,,
321,1818227.139,282103.1596,1,322,,,,,,
322,2160947.139,-6826.8404,1,323,,,,,,
323,1792187.139,290053.1596,1,324,,,,,,
324,2316017.139,392533.1596,1,325,,,,,,
325,1969697.139,-268156.8404,1,326,,,,,,
326,1945637.139,530803.1596,1,327,,,,,,
327,2303447.139,31573.1596,1,328,,,,,,
328,1837757.139,452713.1596,1,329,,,,,,
329,2308397.139,147343.1596,1,330,,,,,,
330,2071367.139,-125236.8404,1,331,,,,,,
331,2108267.139,178483.1596,1,332,,,,,,
332,1904627.139,-95386.8404,1,333,,,,,,
333,1825217.139,-159226.8404,1,334,,,,,,
334,2002277.139,-145456.8404,1,335,,,,,,
335,1959737.139,335083.1596,1,336,,,,,,
336,1968137.139,2953.1596,1,337,,,,,,
337,1878347.139,276763.1596,1,338,,,,,,
338,1999457.139,420313.1596,1,339,,,,,,
339,2192537.139,464593.1596,1,340,,,,,,
340,1852367.139,-56356.8404,1,341,,,,,,
341,1921217.139,-208246.8404,1,342,,,,,,
342,2260007.139,298153.1596,1,343,,,,,,
343,1941047.139,338953.1596,1,344,,,,,,
344,2110577.139,204583.1596,1,345,,,,,,
345,2310827.139,-140206.8404,1,346,,,,,,
346,2169137.139,264613.1596,1,347,,,,,,
347,2168957.139,86593.1596,1,348,,,,,,
348,2066687.139,495043.1596,1,349,,,,,,
349,2198207.139,447373.1596,1,350,,,,,,
350,2301617.139,-82396.8404,1,351,,,,,,
351,2158037.139,381853.1596,1,352,,,,,,
352,1819247.139,-238066.8404,1,353,,,,,,
353,1810967.139,136213.1596,1,354,,,,,,
354,2297957.139,210013.1596,1,355,,,,,,
355,2046707.139,-62986.8404,1,356,,,,,,
356,2093177.139,75013.1596,1,357,,,,,,
357,2041937.139,512623.1596,1,358,,,,,,
358,2309177.139,259123.1596,1,359,,,,,,
359,2059277.139,204703.1596,1,360,,,,,,
360,2245847.139,192373.1596,1,361,,,,,,
361,2170937.139,457573.1596,1,362,,,,,,
362,2230577.139,349063.1596,1,363,,,,,,
363,2185127.139,-52756.8404,1,364,,,,,,
364,2282957.139,-153466.8404,1,365,,,,,,
365,2168867.139,483283.1596,1,366,,,,,,
366,1918397.139,-260026.8404,1,367,,,,,,
367,1957277.139,200533.1596,1,368,,,,,,
368,1964537.139,191203.1596,1,369,,,,,,
369,2221157.139,-228496.8404,1,370,,,,,,
370,1842077.139,473113.1596,1,371,,,,,,
371,2011937.139,23953.1596,1,372,,,,,,
372,2119727.139,266203.1596,1,373,,,,,,
373,2162717.139,-261406.8404,1,374,,,,,,
374,2175287.139,520183.1596,1,375,,,,,,
375,1828817.139,425293.1596,1,376,,,,,,
376,2191667.139,12553.1596,1,377,,,,,,
377,2207477.139,397873.1596,1,378,,,,,,
378,2235527.139,-76696.8404,1,379,,,,,,
379,1940537.139,30433.1596,1,380,,,,,,
380,2037197.139,10093.1596,1,381,,,,,,
381,2198507.139,-138136.8404,1,382,,,,,,
382,2263337.139,337273.1596,1,383,,,,,,
383,2107577.139,406693.1596,1,384,,,,,,
384,2182937.139,280603.1596,1,385,,,,,,
385,1932707.139,519943.1596,1,386,,,,,,
386,1948457.139,-18976.8404,1,387,,,,,,
387,1925117.139,-90076.8404,1,388,,,,,,
388,1943867.139,251323.1596,1,389,,,,,,
389,1894457.139,6793.1596,1,390,,,,,,
390,2185607.139,378103.1596,1,391,,,,,,
391,2223107.139,-6316.8404,1,392,,,,,,
392,1962587.139,270463.1596,1,393,,,,,,
393,2321867.139,266503.1596,1,394,,,,,,
394,1999367.139,215773.1596,1,395,,,,,,
395,2142527.139,231943.1596,1,396,,,,,,
396,1838927.139,468703.1596,1,397,,,,,,
397,2050127.139,314263.1596,1,398,,,,,,
398,1869827.139,237313.1596,1,399,,,,,,
399,2113637.139,414013.1596,1,400,,,,,,
400,2169047.139,525913.1596,1,401,,,,,,
401,2231387.139,115603.1596,1,402,,,,,,
402,2148677.139,464443.1596,1,403,,,,,,
403,2058197.139,-23056.8404,1,404,,,,,,
404,2092487.139,75103.1596,1,405,,,,,,
405,2170847.139,56773.1596,1,406,,,,,,
406,2050577.139,-101026.8404,1,407,,,,,,
407,2319287.139,342913.1596,1,408,,,,,,
408,1872497.139,109993.1596,1,409,,,,,,
409,1998047.139,178033.1596,1,410,,,,,,
410,1934297.139,424993.1596,1,411,,,,,,
411,2104817.139,-218746.8404,1,412,,,,,,
412,2209517.139,495883.1596,1,413,,,,,,
413,2226557.139,10543.1596,1,414,,,,,,
414,1880987.139,119833.1596,1,415,,,,,,
415,2223797.139,275743.1596,1,416,,,,,,
416,2161007.139,-226846.8404,1,417,,,,,,
417,1852307.139,230953.1596,1,418,,,,,,
418,2153417.139,478903.1596,1,419,,,,,,
419,1896047.139,243613.1596,1,420,,,,,,
420,1806077.139,-63616.8404,1,421,,,,,,
421,2217587.139,-130186.8404,1,422,,,,,,
422,1928447.139,-34816.8404,1,423,,,,,,
423,2095997.139,228523.1596,1,424,,,,,,
424,2110397.139,147343.1596,1,425,,,,,,
425,2298227.139,426343.1596,1,426,,,,,,
426,2048387.139,292993.1596,1,427,,,,,,
427,2303147.139,-154276.8404,1,428,,,,,,
428,2103947.139,-87646.8404,1,429,,,,,,
429,2204627.139,339583.1596,1,430,,,,,,
430,2156507.139,221023.1596,1,431,,,,,,
431,1936457.139,-58966.8404,1,432,,,,,,
432,2006597.139,194323.1596,1,433,,,,,,
433,1833557.139,406063.1596,1,434,,,,,,
434,2178317.139,-254986.8404,1,435,,,,,,
435,2201597.139,-205666.8404,1,436,,,,,,
436,1822577.139,-139066.8404,1,437,,,,,,
437,2099867.139,306703.1596,1,438,,,,,,
438,2223287.139,137173.1596,1,439,,,,,,
439,1890107.139,410773.1596,1,440,,,,,,
440,2321717.139,35533.1596,1,441,,,,,,
441,1834817.139,466573.1596,1,442,,,,,,
442,1824737.139,-181276.8404,1,443,,,,,,
443,2003867.139,119083.1596,1,444,,,,,,
444,2175947.139,299173.1596,1,445,,,,,,
445,2321807.139,296563.1596,1,446,,,,,,
446,2237867.139,384883.1596,1,447,,,,,,
447,2118947.139,342973.1596,1,448,,,,,,
448,2198297.139,504553.1596,1,449,,,,,,
449,1956047.139,-184606.8404,1,450,,,,,,
450,1959887.139,58183.1596,1,451,,,,,,
